,denny_e1,denny_e2,denny_e3,denny_w1,denny_w2,denny_w3,yesler_e1,yesler_e2,yesler_w1,yesler_w2,boren_se1,boren_nw3,boren_se2,boren_nw2,boren_se3,boren_nw1,pine_e1,pine_w2,pine_w1,pine_e2,pine_w3,stewart_w1,seven_n1,seven_s1,first_se1,first_nw3,first_se2,first_nw2,first_se3,first_nw1
denny_e1,0,944.71,1393.90,1666.13,1023.00,262.19,2241.36,2571.42,2949.53,2051.49,1074.70,1191.17,1449.48,1707.09,1841.29,2114.85,1399.51,1476.61,2070.42,1885.60,1206.78,1074.47,783.50,687.27,366.65,622.03,1153.86,1217.79,1689.74,2090.34
denny_e2,1238.36,0,473.89,746.12,146.54,1030.01,2189.40,2274.35,2708.50,2226.05,172.17,271.16,546.95,804.56,938.76,1110.88,496.98,574.08,1150.41,983.07,773.65,641.34,878.85,895.34,1038.80,1102.84,856.21,920.14,1854.27,1910.54
denny_e3,1877.60,855.70,0,342.00,750.32,1669.25,2525.29,2610.24,2017.70,2561.94,850.38,698.19,584.24,718.16,976.05,982.05,719.43,446.39,746.29,701.33,960.24,1099.80,1518.09,1549.44,1678.04,1742.08,1280.51,1192.88,1620.82,1669.81
denny_w1,1599.90,578.00,657.98,0,472.62,1391.55,2247.59,2332.54,2766.69,2284.24,572.68,420.49,538.50,721.91,930.31,985.80,673.69,463.38,982.77,773.10,977.23,887.64,1240.39,1271.74,1400.34,1464.38,1102.51,1209.87,1912.46,1968.73
denny_w2,1151.98,337.05,571.18,740.74,0,943.63,2286.69,2371.64,2006.63,2323.34,198.39,358.48,573.17,830.78,964.98,1137.10,523.20,600.30,1151.15,1009.29,668.45,536.14,792.47,823.82,952.42,1016.46,751.01,814.94,1286.89,1481.56
denny_w3,223.36,1031.64,1480.83,1753.06,1109.93,0,2243.57,2573.63,3185.64,2053.70,1161.63,1278.10,1536.41,1794.02,1928.22,2298.25,1486.44,1563.54,2157.35,1972.53,1293.71,1161.40,870.43,754.69,385.69,624.24,1156.07,1220.00,1691.95,2092.55
yesler_e1,2033.45,1791.91,2168.08,1954.48,2357.07,2132.85,0,751.20,1391.85,384.93,1801.49,2253.55,1389.84,1472.50,1239.91,1110.20,1525.03,1973.48,1654.24,2283.20,1352.29,1472.76,2169.81,2274.47,1873.39,1651.45,1068.31,936.03,667.00,437.47
yesler_e2,3219.84,2287.48,2563.26,2349.66,1975.37,3010.32,1643.89,0,922.57,1377.25,2297.06,1824.14,1593.56,1451.49,1283.92,1089.19,1604.16,1681.26,1488.25,1646.77,1864.39,2003.95,2766.11,2797.46,2980.05,2837.84,2204.35,2122.42,1867.87,1623.86
yesler_w1,2639.79,2297.29,2572.44,2358.84,2761.43,2667.15,1007.32,761.68,0,740.68,2306.87,2657.91,1794.20,1940.74,1683.81,1578.44,1929.39,2377.84,1977.50,2687.56,1791.28,1930.84,2704.11,2778.71,2631.27,2257.79,1674.65,1542.37,1231.30,1043.81
yesler_w2,2318.55,1876.72,2146.62,1933.02,1842.41,2238.48,303.75,1017.84,1658.49,0,1886.30,1854.79,1424.49,1465.83,1254.73,1103.53,1559.68,1952.02,1653.15,1850.86,1345.62,1557.57,2245.38,2350.04,1927.70,1881.59,1083.13,950.85,527.73,430.80
boren_se1,1408.74,340.51,739.23,555.20,306.20,1200.39,2147.13,2232.08,1821.09,2183.78,0,372.76,387.63,645.24,779.44,951.56,337.66,414.76,965.61,823.75,625.16,492.85,1049.23,1080.58,1209.18,1273.22,707.72,771.65,1243.60,1438.27
boren_nw3,1291.36,371.34,573.60,794.10,164.08,1083.01,2289.11,2374.06,2808.21,2325.76,337.77,0,724.94,982.55,1116.75,1288.87,674.97,752.07,1250.12,1122.82,962.47,830.16,931.85,963.20,1091.80,1155.84,1045.03,1108.96,1953.98,2010.25
boren_se2,1926.25,962.55,794.23,736.68,798.97,1717.90,1497.63,1555.69,1450.94,1523.08,972.13,647.74,0,275.09,409.29,581.41,427.76,504.86,877.53,760.89,881.52,1021.08,1566.74,1598.09,1726.69,1829.58,1201.79,1114.16,1161.33,1210.32
boren_nw2,1668.65,704.95,536.63,581.22,541.37,1460.30,1407.85,2403.15,1606.09,1433.30,714.53,390.14,168.68,0,560.49,615.98,170.16,247.26,612.95,605.43,623.92,763.48,1309.14,1340.49,1469.09,1571.98,944.19,856.56,1071.55,1120.54
boren_se3,2399.42,1268.78,979.57,965.65,1105.20,2061.05,1090.75,1191.35,1086.60,1143.05,1278.36,953.97,776.18,581.32,0,232.74,733.99,811.09,637.92,796.44,1017.70,1157.26,1948.73,1980.08,2159.63,2017.42,1383.93,1302.00,1018.06,803.44
boren_nw1,2056.81,1093.11,924.79,969.38,929.53,1848.46,1222.90,1323.50,1218.75,1275.20,1102.69,778.30,556.84,405.65,177.10,0,558.32,635.42,732.04,742.54,1012.08,1155.04,1697.30,1728.65,1857.25,1987.41,1363.40,1271.99,1015.84,935.59
pine_e1,1981.10,732.07,461.66,444.61,568.49,1487.42,1631.97,2430.27,1680.71,1657.42,741.65,417.26,247.25,442.50,639.06,811.18,0,137.19,703.36,546.18,651.04,790.60,1336.26,1367.61,1496.21,1599.10,971.31,883.68,1295.67,1344.66
pine_w2,1903.99,654.96,671.80,542.63,491.38,1410.31,1543.02,2353.16,1603.60,2304.86,664.54,340.15,170.14,427.75,561.95,734.07,439.04,0,748.12,740.60,573.93,713.49,1259.15,1290.50,1419.10,1521.99,894.20,806.57,1206.72,1255.71
pine_w1,2392.58,1143.55,773.87,701.35,979.97,1898.90,1831.39,1852.63,1647.32,1804.33,1153.13,828.74,608.47,742.39,743.05,793.91,743.66,548.67,0,488.56,1062.52,1202.08,1747.74,1779.09,1907.69,2010.58,1382.79,1295.16,1495.09,1544.08
pine_e2,2276.30,1254.40,972.68,746.43,1149.02,2067.95,1638.96,1695.23,1489.92,1646.93,1249.08,971.81,616.64,879.90,738.05,636.51,751.83,697.91,382.55,0,1205.59,1345.15,1916.79,1948.14,2076.74,2140.78,1525.86,1438.23,1490.09,1351.65
pine_w3,1339.62,765.94,1156.12,1003.44,731.63,1135.80,1101.47,1595.83,2117.63,1100.47,775.52,673.43,835.87,1022.42,1227.68,1282.95,796.22,873.32,1400.87,1282.31,0,446.79,1172.76,1247.36,1105.53,957.62,329.83,242.20,738.72,1114.75
stewart_w1,1312.79,690.27,1080.45,1066.63,655.96,1060.13,1152.79,1671.72,2180.82,1151.79,699.85,736.62,899.06,1085.61,1290.87,1346.14,859.41,936.51,1464.06,1345.50,438.07,0,1097.09,1171.69,1029.86,930.79,254.16,318.09,790.04,1190.64
seven_n1,929.18,828.19,1277.38,1549.61,900.91,672.39,2100.27,3077.84,2832.74,2099.27,958.18,1074.65,1332.96,1590.57,1724.77,1996.65,1282.99,1360.09,1953.90,1769.08,1119.08,986.77,0,494.78,800.85,1017.61,1201.64,1265.57,1737.52,1932.19
seven_s1,924.33,777.69,1226.88,1499.11,855.98,767.64,2459.80,3027.34,3461.49,2232.24,907.68,1024.15,1282.46,1540.07,1674.27,1846.39,1232.49,1309.59,1903.40,1718.58,1226.25,1093.94,554.43,0,776.43,840.47,1334.61,1436.23,1870.49,2039.36
first_se1,792.54,983.15,1432.34,1791.89,1061.44,596.12,1879.83,2256.30,2854.02,1652.27,1113.14,1229.61,1520.99,1720.52,1912.80,1997.12,1584.67,1661.77,2098.97,2070.76,1163.33,1031.02,930.62,836.95,0,393.09,754.64,942.28,1290.52,1639.32
first_nw3,405.03,953.80,1402.99,1675.22,1032.09,479.71,1938.28,2387.50,2999.51,1867.57,1083.79,1200.26,1458.57,1851.72,1850.38,2112.12,1408.60,1485.70,2079.51,1894.69,1215.87,1083.56,792.59,797.06,475.17,0,969.94,1033.87,1505.82,1978.93
first_se2,1286.23,1057.65,1306.80,1710.37,1023.34,1427.51,937.42,1540.45,2138.17,936.42,1067.23,1088.50,805.14,1004.67,1196.95,1281.27,940.33,1017.43,1383.12,1375.60,676.66,738.50,1422.59,1527.25,982.58,904.23,0,509.67,574.67,923.47
first_nw2,1136.78,895.24,1285.42,1336.96,860.93,1236.18,1271.27,1840.98,2452.99,1319.83,904.82,1006.95,1105.67,1305.20,1497.48,1565.60,1129.74,1206.84,1683.65,1615.83,708.40,576.09,1273.14,1377.80,976.72,754.78,457.76,0,993.64,1257.32
first_se3,1961.70,1729.40,2013.04,1799.44,1695.09,2091.16,438.19,1057.41,1638.94,437.19,1738.98,1609.07,1293.18,1332.25,1089.52,969.95,1428.37,1818.44,1519.57,2128.16,1212.04,1351.60,2098.06,2202.72,1644.69,1579.70,935.81,803.53,0,424.24
first_nw1,1671.42,1429.88,1808.49,1594.89,1395.57,1770.82,959.91,1253.04,1692.16,958.91,1439.46,1401.28,1047.64,1137.12,877.88,857.48,1182.83,1613.89,1463.51,1923.61,989.44,1110.73,1807.78,1912.44,1511.36,1289.42,706.28,574.00,597.16,0
